distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0028100352,-0.0127857689,0.5127115515,-3.0514249802,0.2009454072,0.0319007672
-0.0019682539,-0.0127936506,0.5166666582,-3.1415927410,-0.0000000002,-0.0000000000
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0017261183,-0.0125260365,0.5105142285,-3.0818259716,-0.2566377521,0.0090557346
-0.0018905044,-0.0128647750,0.5132367524,-3.0944135189,-0.1684622020,0.0018821233
-0.0028093293,-0.0124255534,0.5133815538,-3.1152434349,0.1998795271,0.0172230396
-0.0014034378,-0.0129584743,0.5132086563,3.1361138821,-0.1668597311,0.0063337213
-0.0028100352,-0.0127857689,0.5127115515,-3.0514249802,0.2009454072,0.0319007672
-0.0017261183,-0.0125260365,0.5105142285,-3.0818259716,-0.2566377521,0.0090557346
-0.0028200720,-0.0125523850,0.5106052155,-3.0871133804,0.2117016613,0.0245811082
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0020427033,-0.0126292092,0.5171318842,-3.0460035801,-0.0942168236,-0.0015221717
-0.0017261183,-0.0125260365,0.5105142285,-3.0818259716,-0.2566377521,0.0090557346
-0.0018905044,-0.0128647750,0.5132367524,-3.0944135189,-0.1684622020,0.0018821233
-0.0028200720,-0.0125523850,0.5106052155,-3.0871133804,0.2117016613,0.0245811082
-0.0027922308,-0.0126616204,0.5159369593,-3.0749547482,0.1839997172,0.0246794112
-0.0020427033,-0.0126292092,0.5171318842,-3.0460035801,-0.0942168236,-0.0015221717
-0.0028100352,-0.0127857689,0.5127115515,-3.0514249802,0.2009454072,0.0319007672
-0.0028200720,-0.0125523850,0.5106052155,-3.0871133804,0.2117016613,0.0245811082
-0.0028100352,-0.0127857689,0.5127115515,-3.0514249802,0.2009454072,0.0319007672
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0017699018,-0.0124017766,0.5136368278,-3.1068472862,-0.2399408072,0.0168940686
-0.0017261183,-0.0125260365,0.5105142285,-3.0818259716,-0.2566377521,0.0090557346
-0.0028100352,-0.0127857689,0.5127115515,-3.0514249802,0.2009454072,0.0319007672
-0.0028100352,-0.0127857689,0.5127115515,-3.0514249802,0.2009454072,0.0319007672
-0.0023826519,-0.0131194156,0.5170086938,-3.0450828075,0.0891677812,0.0176627915
-0.0028093293,-0.0124255534,0.5133815538,-3.1152434349,0.1998795271,0.0172230396
-0.0017261183,-0.0125260365,0.5105142285,-3.0818259716,-0.2566377521,0.0090557346
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0015738346,-0.0128502522,0.5132477971,-3.0872962475,-0.2101395279,0.0036910579
-0.0028093293,-0.0124255534,0.5133815538,-3.1152434349,0.1998795271,0.0172230396
-0.0019097451,-0.0127466727,0.5154466454,-3.1342434883,-0.1638458073,0.0092832828
-0.0028200720,-0.0125523850,0.5106052155,-3.0871133804,0.2117016613,0.0245811082
-0.0028093293,-0.0124255534,0.5133815538,-3.1152434349,0.1998795271,0.0172230396
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0027120037,-0.0123923697,0.5192245881,-3.0182940960,0.1294606477,0.0300216526
-0.0017261183,-0.0125260365,0.5105142285,-3.0818259716,-0.2566377521,0.0090557346
-0.0023047235,-0.0126012565,0.5204297301,-2.9843428135,0.0387175009,0.0159546901
-0.0028093293,-0.0124255534,0.5133815538,-3.1152434349,0.1998795271,0.0172230396
-0.0018905044,-0.0128647750,0.5132367524,-3.0944135189,-0.1684622020,0.0018821233
-0.0028100352,-0.0127857689,0.5127115515,-3.0514249802,0.2009454072,0.0319007672
-0.0022101791,-0.0133011047,0.5186083681,-3.1207869053,0.1272377670,0.0190049317
-0.0027120037,-0.0123923697,0.5192245881,-3.0182940960,0.1294606477,0.0300216526
-0.0028100352,-0.0127857689,0.5127115515,-3.0514249802,0.2009454072,0.0319007672
-0.0022101791,-0.0133011047,0.5186083681,-3.1207869053,0.1272377670,0.0190049317
-0.0019097451,-0.0127466727,0.5154466454,-3.1342434883,-0.1638458073,0.0092832828
-0.0027922308,-0.0126616204,0.5159369593,-3.0749547482,0.1839997172,0.0246794112
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0022101791,-0.0133011047,0.5186083681,-3.1207869053,0.1272377670,0.0190049317
-0.0017261183,-0.0125260365,0.5105142285,-3.0818259716,-0.2566377521,0.0090557346
-0.0017261183,-0.0125260365,0.5105142285,-3.0818259716,-0.2566377521,0.0090557346
-0.0017790408,-0.0133651313,0.5143253627,3.0651402473,-0.0965552032,0.0102341240
-0.0017261183,-0.0125260365,0.5105142285,-3.0818259716,-0.2566377521,0.0090557346
-0.0027922308,-0.0126616204,0.5159369593,-3.0749547482,0.1839997172,0.0246794112
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0023637070,-0.0129497354,0.5195311582,-3.0524625778,0.0742389187,0.0124420393
-0.0027922308,-0.0126616204,0.5159369593,-3.0749547482,0.1839997172,0.0246794112
-0.0028100352,-0.0127857689,0.5127115515,-3.0514249802,0.2009454072,0.0319007672
-0.0022101791,-0.0133011047,0.5186083681,-3.1207869053,0.1272377670,0.0190049317
-0.0018905044,-0.0128647750,0.5132367524,-3.0944135189,-0.1684622020,0.0018821233
-0.0023826519,-0.0131194156,0.5170086938,-3.0450828075,0.0891677812,0.0176627915
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0023637070,-0.0129497354,0.5195311582,-3.0524625778,0.0742389187,0.0124420393
-0.0028200720,-0.0125523850,0.5106052155,-3.0871133804,0.2117016613,0.0245811082
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0015738346,-0.0128502522,0.5132477971,-3.0872962475,-0.2101395279,0.0036910579
-0.0022101791,-0.0133011047,0.5186083681,-3.1207869053,0.1272377670,0.0190049317
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0028100352,-0.0127857689,0.5127115515,-3.0514249802,0.2009454072,0.0319007672
-0.0017261183,-0.0125260365,0.5105142285,-3.0818259716,-0.2566377521,0.0090557346
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0028100352,-0.0127857689,0.5127115515,-3.0514249802,0.2009454072,0.0319007672
-0.0028100352,-0.0127857689,0.5127115515,-3.0514249802,0.2009454072,0.0319007672
-0.0022101791,-0.0133011047,0.5186083681,-3.1207869053,0.1272377670,0.0190049317
-0.0028200720,-0.0125523850,0.5106052155,-3.0871133804,0.2117016613,0.0245811082
-0.0016973409,-0.0129690058,0.5121406012,3.1172347069,-0.1367963552,0.0038371074
-0.0022101791,-0.0133011047,0.5186083681,-3.1207869053,0.1272377670,0.0190049317
-0.0028200720,-0.0125523850,0.5106052155,-3.0871133804,0.2117016613,0.0245811082
-0.0017261183,-0.0125260365,0.5105142285,-3.0818259716,-0.2566377521,0.0090557346
-0.0028200720,-0.0125523850,0.5106052155,-3.0871133804,0.2117016613,0.0245811082
-0.0027922308,-0.0126616204,0.5159369593,-3.0749547482,0.1839997172,0.0246794112
-0.0016135039,-0.0127356195,0.5161166451,-3.1205668449,-0.1947190464,0.0115903690
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
-0.0023637070,-0.0129497354,0.5195311582,-3.0524625778,0.0742389187,0.0124420393
-0.0017699018,-0.0124017766,0.5136368278,-3.1068472862,-0.2399408072,0.0168940686
-0.0026212257,-0.0128992819,0.5135034728,-3.1020469666,0.2321193516,0.0317025781
